frb,telescope,utc,raj,decj,gl,gb,receiver,backend,beam_semi_major_axis,beam_semi_minor_axis,beam_rotation_angle,beam,sampling_time,bandwidth,centre_frequency,npol,bits_per_sample,gain,tsys,mw_dm_limit,galactic_electron_model,voevent_ivorn,dm,dm_error,dm_index,snr,width,width_error_upper,width_error_lower,flux,flux_error_upper,flux_error_lower,rm,rm_error,redshift_host,dispersion_smearing,scattering_model,scattering_timescale,scattering,scattering_error,scattering_index,scattering_index_error,linear_poln_frac,linear_poln_frac_error,circular_poln_frac,circular_poln_frac_error,spectral_index,spectral_index_error
FRB010125,parkes,2001/01/25 00:29:15.790,19:06:53,-40:37:14,356.641,-20.0206,MB20,AFB,7.5,7.5,0,5,0.125,288,1372.5,2,1,0.69,28,110,NE2001,ivo://unknown22,790.3,3,,25,10.6,2.8,2.5,0.54,0.11,0.07,,,,,,,,,,,,,,,,
FRB010125,parkes,2001/01/25 00:29:15.790,19:06:53,-40:37:14,356.641,-20.0206,MB20,AFB,7.5,7.5,0,5,0.125,288,1372.5,2,1,0.69,28,110,NE2001,ivo://unknown1,790,3,2,17,9.4,0.2,0.2,0.3,,,,,,,,,,,-4.2,1.2,,,,,,
FRB010621,parkes,2001/06/21 13:02:11.299,18:52:05,-08:29:35,25.434,-4.00381,MB20,AFB,7.5,7.5,0,10,0.25,288,1374,2,1,0.581,28,523,NE2001,ivo://unknown2,748,3,,18,8,4,2.25,0.53,0.26,0.09,,,,,,,,,,,,,,,,
FRB010621,parkes,2001/06/21 13:02:11.299,18:52:05,-08:29:35,25.434,-4.00381,MB20,AFB,7.5,7.5,0,10,0.25,288,1374,2,1,0.581,28,523,NE2001,ivo://unknown30,745,10,2.02,16.3,7,,,0.41,,,,,,,,,,,,,,,,,,
FRB010724,parkes,2001/07/24 19:50:01.690,01:13:56,-74.48:08,300.913,-42.4266,MB20,AFB,7.5,7.5,0,7,1,288,1374,2,1,0.69,28,44.58,NE2001,ivo://unknown19,375,3,,16,13,5,11,0.29,0.18,0.089,,,,,,,,,,,,,,,,
FRB010724,parkes,2001/07/24 19:50:01.690,01:18:06,-75:12:18,300.653,-41.8051,MB20,AFB,7.5,7.5,0,6,1,288,1374,2,1,0.69,28,44.58,NE2001,ivo://unknown3,375,3,,100,20,0,0,1.574,0,0,,,,,,,,,,,,,,,,
FRB010724,parkes,2001/07/24 19:50:01.690,01:22:30,-75:36.33,300.367,-41.3677,MB20,AFB,7.5,7.5,0,12,1,288,1374,2,1,0.581,28,44.58,NE2001,ivo://unknown20,375,3,,6,33,12,28,0.087,0.03,0.036,,,,,,,,,,,,,,,,
FRB010724,parkes,2001/07/24 19:50:01.690,01:10:26,-75:14:14,301.31,-41.8311,MB20,AFB,7.5,7.5,0,13,1,288,1374,2,1,0.581,28,44.58,NE2001,ivo://unknown21,375,3,,26,16,5,4,0.54,0.14,0.073,,,,,,,,,,,,,,,,
FRB010724,parkes,2001/07/24 19:50:01.690,01:18:06,-75:12:18,300.653,-41.8051,MB20,AFB,7.5,7.5,0,6,1,288,1374,2,1,0.69,28,44.58,NE2001,ivo://unknown31,375,,,23,5,,,30,10,10,,,,,One-sided exponential,,24.13,3,-4.8,0.4,,,,,,
FRB010724,parkes,2001/07/24 19:50:01.690,01:13:56,-74.48:08,300.913,-42.4266,MB20,AFB,7.5,7.5,0,7,1,288,1374,2,1,0.69,28,44.58,NE2001,ivo://unknown32,375,,,0,0,,,,,,,,,,,,,,,,,,,,,
FRB010724,parkes,2001/07/24 19:50:01.690,01:10:26,-75:14:14,301.31,-41.8311,MB20,AFB,7.5,7.5,0,13,1,288,1374,2,1,0.581,28,44.58,NE2001,ivo://unknown33,375,,,0,-1,,,,,,,,,,,,,,,,,,,,,
FRB090625,parkes,2009/06/25 21:53:51.379,03:07:47,-29:55:36,226.444,-60.0303,MB20,BPSR,7.5,7.5,0,6,0.064,338.281,1352,2,2,0.69,28,31.69,NE2001,ivo://unknown34,899.55,0.01,,28,1.9,,,1.15,,,,,,,One-sided exponential,,3.7,0.7,,,,,,,,
FRB090625,parkes,2009/06/25 21:53:51.379,03:07:47,-29:55:36,226.444,-60.0303,MB20,BPSR,7.5,7.5,0,6,0.064,338.281,1352,2,2,0.69,28,31.69,NE2001,ivo://unknown4,899.55,0.01,,30,1.92,0.832,0.768,1.14,0.42,0.21,,,,,One-sided exponential,,3.7,0.7,,,,,,,,
FRB110220,parkes,2011/02/20 01:55:48.096,22:34:38,-12:23:45,50.829,-54.7663,MB20,BPSR,7.5,7.5,0,3,0.064,338.281,1352,2,2,0.69,28,34.77,NE2001,ivo://unknown23,944.38,0.05,,54,6.59,1.28,1.024,1.11,0.15,0.1,,,,,,,,,,,,,,,,
FRB110220,parkes,2011/02/20 01:55:48.096,22:34:38,-12:23:45,50.829,-54.7663,MB20,BPSR,7.5,7.5,0,3,0.064,338.281,1352,2,2,0.69,28,34.77,NE2001,ivo://unknown5,944.38,0.05,2.003,49,5.6,0.1,0.1,1.3,0,0,,,,,,,,,-4,0.4,,,,,,
FRB110523,GBT,2011/05/23 15:06:19.700,21:45:12,-00:09:37,56.12,-37.82,800MHz,guppi,8,8,0,1,1.024,200,800,2,8,2,1.16,43.52,NE2001,ivo://unknown29,623.3,0.06,1.998,42,1.73,0.17,0.17,0.6,,,-186.1,1.4,,,One-sided exponential,,0.71,0.09,-3.6,1.4,44,3,23,30,,
FRB110626,parkes,2011/06/26 21:33:17.477,21:03:43,-44:44:19,355.862,-41.7522,MB20,BPSR,7.5,7.5,0,12,0.064,338.281,1352,2,2,0.581,28,47.46,NE2001,ivo://unknown24,723,0.3,,12,1.41,1.22,0.45,0.63,1.22,0.12,,,,,,,,,,,,,,,,
FRB110626,parkes,2011/06/26 21:33:17.477,21:03:43,-44:44:19,355.862,-41.7522,MB20,BPSR,7.5,7.5,0,12,0.064,338.281,1352,2,2,0.581,28,47.46,NE2001,ivo://unknown6,723,0.3,,11,1.4,,,0.4,,,,,,,,,,,,,,,,,,
FRB110703,parkes,2011/07/03 18:59:40.607,23:30:51,-02:52:24,80.9978,-59.0191,MB20,BPSR,7.5,7.5,0,5,0.064,338.281,1352,2,2,0.69,28,32.33,NE2001,ivo://unknown25,1103.6,0.7,,17,3.9,2.24,1.85,0.45,0.28,0.1,,,,,,,,,,,,,,,,
FRB110703,parkes,2011/07/03 18:59:40.607,23:30:51,-02:52:24,80.9978,-59.0191,MB20,BPSR,7.5,7.5,0,5,0.064,338.281,1352,2,2,0.69,28,32.33,NE2001,ivo://unknown7,1103.6,0.7,2,16,4.3,,,0.5,,,,,,,,,,,,,,,,,,
FRB120127,parkes,2012/01/27 08:11:21.725,23:15:06,-18:25:38,49.2871,-66.2037,MB20,BPSR,7.5,7.5,0,4,0.064,338.281,1352,2,2,0.69,28,31.82,NE2001,ivo://unknown26,553.3,0.3,,13,1.21,0.64,0.25,0.62,0.35,0.1,,,,,,,,,,,,,,,,
FRB120127,parkes,2012/01/27 08:11:21.725,23:15:06,-18:25:38,49.2871,-66.2037,MB20,BPSR,7.5,7.5,0,4,0.064,338.281,1352,2,2,0.69,28,31.82,NE2001,ivo://unknown8,553.3,0.3,,11,1.1,,,0.5,,,,,,,,,,,,,,,,,,
FRB121002,parkes,2012/10/02 13:09:18.436,18:14:47,-85:11:53,308.22,-26.2647,MB20,BPSR,7.5,7.5,0,12,0.064,338.281,1352,2,2,0.581,28,74.27,NE2001,ivo://unknown35,1629.18,0.02,,16,3,,,0.76,,,,,,,One-sided exponential,,6.7,0.7,,,,,,,,
FRB121002,parkes,2012/10/02 13:09:18.436,18:14:47,-85:11:53,308.22,-26.2647,MB20,BPSR,7.5,7.5,0,12,0.064,338.281,1352,2,2,0.581,28,74.27,NE2001,ivo://unknown12,1629.18,0.02,,16,5.44,3.5,1.2,0.43,0.33,0.06,,,,,One-sided exponential,,6.7,0.7,,,,,,,,
FRB121102,arecibo,2012/11/02 06:35:53.244,05:32:09,33:05:13,174.95,-0.225138,ALFA,Mock spectrometers,1.75,1.75,0,4,0.0655,322.6,1375,2,4,0.7,30,188,NE2001,ivo://unknown11,557,2,,14,3,0.5,0.5,0.4,0.4,0.1,,,,,,,,,,,,,,,8.8,1.9
