"frb_name","utc","telescope","rop_receiver","rop_backend","rop_beam","rop_beam_semi_major_axis","rop_beam_semi_minor_axis","rop_beam_rotation_angle","rop_raj","rop_decj","rop_gl","rop_gb","rop_sampling_time","rop_bandwidth","rop_centre_frequency","rop_npol","rop_bits_per_sample","rop_gain","rop_tsys","rop_mw_dm_limit","rop_galactic_electron_model","rmp_dm","rmp_width","rmp_snr","rmp_flux","rmp_dm_index","rmp_scattering_index","rmp_scattering","rmp_scattering_model","rmp_scattering_timescale","rmp_linear_poln_frac","rmp_circular_poln_frac","rmp_spectral_index","rmp_rm","rmp_redshift_host","rmp_dispersion_smearing"
"FRB180212","2018/02/12 23:45:04.399","ASKAP","null","null","null","30","30","0","14:21","-03:35","338.3","50","1.26","336","1297","2","2","0.029","58","33","NE2001","167.5&plusmn0.5","1.81","18.3","53","null","null","null","null","null","null","null","null","null","null","null"
"FRB180131","2018/01/31 05:45:04.320","ASKAP","null","null","null","12","8","0","21:49.9","-40:41","0.6","-50.7","1.26","336","1297","2","2","0.029","58","40","NE2001","657.7&plusmn0.5","4.5","13.8","22.2","null","null","null","null","null","null","null","null","null","null","null"
"FRB180130","2018/01/30 04:55:29.993","ASKAP","null","null","null","14","10","0","21:52.2","-38:34","5.9","-51.8","1.26","336","1297","2","2","0.029","58","39","NE2001","343.5&plusmn0.4","4.1","10.2","23.1","null","null","null","null","null","null","null","null","null","null","null"
"FRB180128.2","2018/01/28 04:53:26.796","ASKAP","null","null","null","15","11","0","22:22","-60:15","327.8","-48.6","1.26","336","1297","2","2","0.029","58","40","NE2001","495.9&plusmn0.7","2.3","9.6","28.7","null","null","null","null","null","null","null","null","null","null","null"
"FRB180128.0","2018/01/28 00:59:38.617","ASKAP","null","null","null","20","15","90","13:56","-06:43","326.7","52.2","1.26","336","1297","2","2","0.029","58","32","NE2001","441.4&plusmn0.2","2.9","12.4","17.5","null","null","null","null","null","null","null","null","null","null","null"
"FRB180119","2018/01/19 12:24:40.747","ASKAP","null","null","null","8","8","0","03:29.3","-12:44","199.5","-50.4","1.26","336","1297","2","2","0.029","58","36","NE2001","402.7&plusmn0.7","2.7","15.9","40.7","null","null","null","null","null","null","null","null","null","null","null"
"FRB180110","2018/01/10 07:34:34.959","ASKAP","null","null","null","10.5","7","0","21:53.0","-35:27","7.8","-51.9","1.26","336","1297","2","2","0.029","58","38","NE2001","715.7&plusmn0.2","3.2","35.6","128.1","null","null","null","null","null","null","null","null","null","null","null"
"FRB171216","2017/12/16 17:59:10.822","ASKAP","null","null","null","15","10","0","03:28","-57:04","273.9","-48.4","1.26","336","1297","2","2","0.029","58","37","NE2001","203.1&plusmn0.5","1.9","8","21","null","null","null","null","null","null","null","null","null","null","null"
"FRB171213","2017/12/13 14:22:40.467","ASKAP","null","null","null","30","20","0","03:39","-10:56","200.6","-48.3","1.26","336","1297","2","2","0.029","58","36","NE2001","158.6&plusmn0.2","1.5","25.1","88.6","null","null","null","null","null","null","null","null","null","null","null"
"FRB171116","2017/11/16 14:59:33.305","ASKAP","null","null","null","10","10","0","03:31.0","-17:14","205","-49.8","1.26","336","1297","2","2","0.029","58","36","NE2001","618.5&plusmn0.5","3.2","11.8","19.6","null","null","null","null","null","null","null","null","null","null","null"
