back_end,barycentric_event_time,burst_bandwidth,burst_width,burst_width_err,decl,decl_err,discovery_date,dm,dm_model,filename,filetype,fluence,fluence_err,flux,flux_err,frac_lin_pol,galactic_max_dm,galactic_max_dm_model,group,host_redshift,inst_bandwidth,internal_name,lastmodified,name,num_channels,num_files,photometry_date,photometry_id,public_webpage,ra,ra_err,ref_freq,region_filename,remarks,repeater_of_objid,reporter_name,reports_id,rm,rm_err,sampling_time,scattering_time,scattering_time_err,snr,telescope,telescope_mode,time_received,tns_id,ra_frac,dec_frac,gl_frac,gb_frac
Other-,,,6.0,0.2,-14:04:00.00,25 arcmin,2020-09-06 21:40:50.923,577.8,0.2,https://wis-tns.weizmann.ac.il/system/files/uploaded/CRAFT/tns_20200906A_atrep_81456_CRAFT.png,Graphics,59.0,17.0,0.0,,,36.0,NE2001,CRAFT,,336.0,FRB200906,2020-09-07 08:26:43.000,FRB 20200906A,336,1,2020-09-06 21:40:50.923,791,,03:35:00.000,25 arcmin,864.5,https://wis-tns.weizmann.ac.il/system/files/uploaded/CRAFT/20200906A_CRAFT_763_region-file.fits,De-dispersed waterfall plot of the coadded spectrum from the two adjacent beams in which the burst was detected strongly.,,"S. Bhandari (CSIRO), Pravir Kumar (Swinburne University of Technology), R. M. Shannon (Swinburne University of Technology),  K. W. Bannister (CSIRO)",81456,,,1.7,,,16.1,ASKAP,Incoherent,2020-09-07 08:26:43.000,66119,53.75,-14.066666666666666,-157.4248249073024,-50.86150751859242
Other-,,,,,-39:28:60.00,15 arcmin,2020-06-27 19:23:41.644,294.0,1,,,28.0,3.0,0.0,,,40.0,NE2001,CRAFT,,336.0,FRB 200627,,FRB 20200627A,336,,2020-06-27 19:23:41.644,787,,21:47:00.000,15 arcmin,920.5,,Burst discovered in the incoherent sum of 31 ASKAP antennas.,,"R. M. Shannon (Swinburne), P. Kumar (Swinburne), K. Bannister (CSIRO), V. A. Moss (CSIRO)",79945,,,1.7,,,11.0,ASKAP,Incoherent,2020-08-13 10:13:27.000,65101,326.75,-39.483333333333334,3.9539861250314914,-49.046632147092
Other-,,,1.3,,-05:08:24.10,1.2 deg,2020-06-07 10:37:21.700,466.9,,https://wis-tns.weizmann.ac.il/system/files/uploaded/FRBCAT/tns_20200607A_atrep_79778_FRBCAT.png,Graphics,51.0,,0.0,,,31.0,NE2001,FRBCAT,,31.25,FRB200607,2020-08-12 09:08:41.000,FRB 20200607A,40,1,2020-06-07 10:37:21.700,750,,13:41:30.650,4.80 arcsec,835.0,,Dedispersed waterfall plot. Frequency time spectrum below and dedispersed time series above.,,Emily Petroff,79778,,,0.327,,,41.0,MOST,UTMOST,2020-08-12 09:08:40.000,64995,205.37770833333335,-5.140027777777778,-35.73299079111109,55.94193491958073
Other-,,,,,-65:35:42.70,1.2 deg,2020-05-08 07:42:09.500,629.0,,https://wis-tns.weizmann.ac.il/system/files/uploaded/FRBCAT/tns_20200508A_atrep_79777_FRBCAT.png,Graphics,29.7,,0.0,,,144.9,NE2001,FRBCAT,,31.25,FRB200508,2020-08-12 09:08:38.000,FRB 20200508A,40,1,2020-05-08 07:42:09.500,749,,09:01:32.390,4.80 arcsec,835.0,,Dedispersed waterfall plot. Frequency time spectrum below and dedispersed time series above.,,Emily Petroff,79777,,,0.327,,,14.33,MOST,UTMOST,2020-08-12 09:08:37.000,64994,135.38495833333334,-65.59519444444445,-77.31406739689709,-12.963782131223809
Other-,2020-04-23 20:11:19.680,200.0,10.0,10.0,+65:43:00.63,0.80 arcsec,2020-04-23 20:11:19.680,349.8,,,,1.3,1.3,0.13,0.13,,,,VLA-realfast,,640.0,TFST0001_TEST_R3_10ms_000.58962.831878599536.8.1_seg12-i424-dm44-dt0,,FRB 20200423A,640,,2020-04-23 20:11:19.680,565,http://www.astronomerstelegram.org/?read=13664,01:58:00.634,0.80 arcsec,1680.0,,,FRB  20180916B,Casey Law,69021,,,10.0,,,13.0,VLA,WIDAR,2020-04-27 17:48:30.000,58774,29.502641666666666,65.71684166666667,130.21141571695358,3.598559256418812
Other-,,,10.49,,+65:43:00.31,0 arcsec,2020-03-24 09:31:23.901,349.0,,https://wis-tns.weizmann.ac.il/system/files/uploaded/FRBCAT/tns_20200324C_atrep_79821_FRBCAT.pdf,,3.51,,0.0,,,200.0,NE2001,FRBCAT,0.0337,200.0,FRB20180916B,2020-08-12 09:20:26.000,FRB 20200324C,2048,1,2020-03-24 09:31:23.901,786,,01:58:00.750,0 arcsec,400.0,,"Dedispersed waterfall plot, dispersion vs time plot, and dispersed waterfall plot",FRB  20180916B,Emily Petroff,79821,,,0.0,,,26.65,GMRT,GMRT-Band3,2020-08-12 09:20:26.000,65034,29.503125,65.71675277777778,130.21163030140505,3.5985199443091433
Other-,,,10.49,,+65:43:00.31,0 arcsec,2020-03-24 08:28:40.842,349.0,,https://wis-tns.weizmann.ac.il/system/files/uploaded/FRBCAT/tns_20200324B_atrep_79820_FRBCAT.pdf,,1.53,,0.0,,,200.0,NE2001,FRBCAT,0.0337,200.0,FRB20180916B,2020-08-12 09:20:20.000,FRB 20200324B,2048,1,2020-03-24 08:28:40.842,785,,01:58:00.750,0 arcsec,400.0,,"Dedispersed waterfall plot, dispersion vs time plot, and dispersed waterfall plot",FRB  20180916B,Emily Petroff,79820,,,0.0,,,11.6,GMRT,GMRT-Band3,2020-08-12 09:20:19.000,65033,29.503125,65.71675277777778,130.21163030140505,3.5985199443091433
Clear-,,,,,+65:42:36.00,1.1833333333333 deg,2020-03-24 21:35:53.719,346.14,3.23,,,,,0.0,0.0,,104.32,NE2001,CHIMEFRB,,400.0,78294947,,FRB 20200324A,16384,,2020-03-24 21:35:53.719,548,https://www.chime-frb.ca/repeaters,01:39:04.800,31 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20180916B,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65098,,,0.98304,,,13.02,CHIME,FRB,2020-03-26 17:53:46.000,56446,24.77,65.71000000000001,128.30304598638415,3.200788955940075
Other-,,,10.49,,+65:43:00.31,0 arcsec,2020-03-23 10:53:34.901,349.0,,https://wis-tns.weizmann.ac.il/system/files/uploaded/FRBCAT/tns_20200323B_atrep_79819_FRBCAT.pdf,,15.11,,0.0,,,200.0,NE2001,FRBCAT,0.0337,200.0,FRB20180916B,2020-08-12 09:20:13.000,FRB 20200323B,2048,1,2020-03-23 10:53:34.901,784,,01:58:00.750,0 arcsec,400.0,,"Dedispersed waterfall plot, dispersion vs time plot, and dispersed waterfall plot",FRB  20180916B,Emily Petroff,79819,,,0.0,,,114.75,GMRT,GMRT-Band3,2020-08-12 09:20:13.000,65032,29.503125,65.71675277777778,130.21163030140505,3.5985199443091433
Other-,,,5.24,,+65:43:00.31,0 arcsec,2020-03-23 10:07:02.778,349.0,,https://wis-tns.weizmann.ac.il/system/files/uploaded/FRBCAT/tns_20200323A_atrep_79817_FRBCAT.pdf,,8.89,,0.0,,,200.0,NE2001,FRBCAT,0.0337,200.0,FRB20180916B,2020-08-12 09:20:04.000,FRB 20200323A,2048,1,2020-03-23 10:07:02.778,783,,01:58:00.750,0 arcsec,400.0,,"Dedispersed waterfall plot, dispersion vs time plot, and dispersed waterfall plot",FRB  20180916B,Emily Petroff,79817,,,0.0,,,95.51,GMRT,GMRT-Band3,2020-08-12 09:20:04.000,65030,29.503125,65.71675277777778,130.21163030140505,3.5985199443091433
Clear-,,,,,+46:58:12.00,33 arcmin,2020-03-14 15:22:41.274,575.83,6.47,,,,,0.0,0.0,,71.8,NE2001,CHIMEFRB,,400.0,77049697,,FRB 20200314A,16384,,2020-03-14 15:22:41.274,547,https://www.chime-frb.ca/repeaters,18:54:26.400,22 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20190208A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65097,,,0.98304,,,29.3,CHIME,FRB,2020-03-26 17:53:46.000,56445,283.61,46.97,77.44678045282534,19.792634515151057
Clear-,,,,,+46:16:12.00,45 arcmin,2020-03-07 05:07:50.023,308.94,1.62,,,,,0.0,0.0,,53.34,NE2001,CHIMEFRB,,400.0,75987838,,FRB 20200307A,16384,,2020-03-07 05:07:50.023,546,https://www.chime-frb.ca/repeaters,08:09:28.800,34 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20190907A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65096,,,0.98304,,,8.69,CHIME,FRB,2020-03-26 17:53:46.000,56444,122.37,46.269999999999996,174.26563011795946,31.48438048322358
Clear-,,,,,+73:37:48.00,1.6666666666667 deg,2020-03-02 01:52:16.447,194.1,12.94,,,,,0.0,0.0,,104.08,NE2001,CHIMEFRB,,400.0,75187874,,FRB 20200302A,16384,,2020-03-02 01:52:16.447,545,https://www.chime-frb.ca/repeaters,04:20:40.800,31 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20180814A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65095,,,0.98304,,,15.18,CHIME,FRB,2020-03-26 17:53:46.000,56443,65.17,73.63,137.13141745556578,16.251268660050698
