,backend,bandwidth,beam,beam_rotation_angle,beam_semi_major_axis,beam_semi_minor_axis,bits_per_sample,centre_frequency,channel_bandwidth,circular_poln_frac,circular_poln_frac_error,circular_poln_frac_frmt,circular_poln_frac_frmt_err,count,dec,decj,dispersion_smearing,dm,dm_error,dm_frmt,dm_frmt_err,dm_index,dm_index_error,dm_index_frmt,dm_index_frmt_err,fluence,fluence_error_lower,fluence_error_upper,fluence_frmt,fluence_frmt_err_down,fluence_frmt_err_up,flux,flux_error_lower,flux_error_upper,flux_frmt,flux_frmt_err_down,flux_frmt_err_up,frb_name,gain,galactic_electron_model,gb,gl,linear_poln_frac,linear_poln_frac_error,linear_poln_frac_frmt,linear_poln_frac_frmt_err,mw_dm_limit,notes_author_x,notes_author_y,notes_last_modified_x,notes_last_modified_y,notes_note_x,notes_note_y,npol,o_data_link,pub_description,pub_link,pub_reference,pub_type,ra,raj,receiver,redshift_host,redshift_inferred,rm,rm_error,sampling_time,scattering,scattering_error,scattering_frmt,scattering_frmt_err,scattering_index,scattering_index_error,scattering_index_frmt,scattering_index_frmt_err,scattering_model,scattering_timescale,snr,snr_frmt,spectral_index,spectral_index_error,spectral_index_frmt,spectral_index_frmt_err,telescope,tsys,type,unnamed: 0,utc,width,width_error_lower,width_error_upper,width_frmt,width_frmt_err_down,width_frmt_err_up,rate,n_bursts,exposure
129,,400.0,1.0,0.0,30.0,30.0,,600.0,0.025,,,,,34,67.06641666666667,+67:03:59.1,,716.6,,716.6,,,,,,,,,,,,,,,,,,FRB180725.J0613+67,,NE2001,20.7587468628814,148.08751008184976,,,,,69.0,,,,,,,2.0,,First detection of fast radio bursts between 400 and 800 MHz by CHIME/FRB,http://www.astronomerstelegram.org/?read=11901,"Boyle et al., ATel 11901",Astronomers Telegram,93.22125,06:12:53.1,CHIME/FRB,,,,,1.0,,,,,,,,,,,19.4,19.4,,,,,chime,,one-off,129,2018-07-25 17:59:43.115,2.0,,,2.0,,,,,
141,,400.0,,0.0,,,,600.0,0.025,,,,,33,73.73333333333333,+73:44:00,,191.0,3.0,191.0,3.0,,,,,,,,,,,,,,,,,FRB180814.J0422+73,,NE2001,16.389693724503577,137.12032023529892,,,,,87.0,,,,,,,2.0,https://chime-frb-open-data.github.io/,A second source of repeating fast radio bursts,https://ui.adsabs.harvard.edu/abs/2019Natur.566..235C/abstract,Ng et al. 2019 Nature 566 235,peer-reviewed publication,65.5,04:22:00,CHIME/FRB,,,,,,,,,,,,,,,,11.0,11.0,,,,,chime,,repeater,141,2018-09-06 01:17:47.380,3.9,,,3.9,,,0.21428571428571427,3.0,14.0
142,,400.0,,0.0,,,,600.0,0.025,,,,,40,73.73333333333333,+73:44:00,,189.8,0.9,189.8,0.9,,,,,3.4,0.30000000000000004,0.30000000000000004,3.4,-0.3,0.3,,,,,,,FRB180814.J0422+73,,NE2001,16.389693724503577,137.12032023529892,,,,,87.0,,,,,,,2.0,https://chime-frb-open-data.github.io/,A second source of repeating fast radio bursts,https://ui.adsabs.harvard.edu/abs/2019Natur.566..235C/abstract,Ng et al. 2019 Nature 566 235,peer-reviewed publication,65.5,04:22:00,CHIME/FRB,,,,,0.983,,,,,,,,,,,12.0,12.0,,,,,chime,,repeater,142,2018-09-11 12:59:13.733,7.9,,,7.9,,,0.21428571428571427,3.0,14.0
152,,400.0,,90.0,11.0,7.0,,600.0,0.0244140625,,,,,46,65.73333333333333,65:44:00,,349.2,0.4,349.2,0.4,,,,,2.3,1.2,1.2,2.3,-1.2,1.2,,,,,,,FRB180916.J0158+65,,NE2001,3.6143252738210734,130.20644732719438,,,,,200.0,,,,,,,2.0,,CHIME/FRB Detection of Eight New Repeating Fast Radio Burst Sources,https://ui.adsabs.harvard.edu/abs/2019arXiv190803507A/abstract,CHIME/FRB Collaboration et al. 2019 ApJ Letters submitted,Peer reviewed publication,29.5,01:58:00,,,,-114.6,0.6000000000000001,1.0,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,152,2018-09-16 10:15:19.802,1.4,0.07,0.07,1.4,-0.07,0.07,0.43478260869565216,10.0,23.0
143,,400.0,,0.0,,,,600.0,0.025,,,,,40,73.73333333333333,+73:44:00,,189.5,0.1,189.5,0.1,,,,,66.0,31.0,31.0,66.0,-31.0,31.0,,,,,,,FRB180814.J0422+73,,NE2001,16.389693724503577,137.12032023529892,,,,,87.0,,,,,,,2.0,https://chime-frb-open-data.github.io/,A second source of repeating fast radio bursts,https://ui.adsabs.harvard.edu/abs/2019Natur.566..235C/abstract,Ng et al. 2019 Nature 566 235,peer-reviewed publication,65.5,04:22:00,CHIME/FRB,,,,,1.966,,,,,,,,,,,22.0,22.0,,,,,chime,,repeater,143,2018-09-17 00:46:35.359,63.0,,,63.0,,,0.21428571428571427,3.0,14.0
144,,400.0,,0.0,,,,600.0,0.025,,,,,40,73.73333333333333,+73:44:00,,190.0,0.1,190.0,0.1,,,,,12.0,6.0,6.0,12.0,-6.0,6.0,,,,,,,FRB180814.J0422+73,,NE2001,16.389693724503577,137.12032023529892,,,,,87.0,,,,,,,2.0,https://chime-frb-open-data.github.io/,A second source of repeating fast radio bursts,https://ui.adsabs.harvard.edu/abs/2019Natur.566..235C/abstract,Ng et al. 2019 Nature 566 235,peer-reviewed publication,65.5,04:22:00,CHIME/FRB,,,,,0.983,,,,,,,,,,,10.0,10.0,,,,,chime,,repeater,144,2018-09-19 12:36:09.141,16.0,,,16.0,,,0.21428571428571427,3.0,14.0
153,,400.0,,90.0,11.0,7.0,,600.0,0.0244140625,,,,,46,65.73333333333333,65:44:00,,349.0,0.6000000000000001,349.0,0.6,,,,,2.7,1.3,1.3,2.7,-1.3,1.3,,,,,,,FRB180916.J0158+65,,NE2001,3.6143252738210734,130.20644732719438,,,,,200.0,,,,,,,2.0,,CHIME/FRB Detection of Eight New Repeating Fast Radio Burst Sources,https://ui.adsabs.harvard.edu/abs/2019arXiv190803507A/abstract,CHIME/FRB Collaboration et al. 2019 ApJ Letters submitted,Peer reviewed publication,29.5,01:58:00,,,,-114.6,0.6000000000000001,1.0,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,153,2018-10-19 08:13:22.750,4.1,0.30000000000000004,0.30000000000000004,4.1,-0.3,0.3,0.43478260869565216,10.0,23.0
145,,400.0,,0.0,,,,600.0,0.025,,,,,34,73.73333333333333,+73:44:00,,188.9,0.5,188.9,0.5,,,,,,,,,,,,,,,,,FRB180814.J0422+73,,NE2001,16.389693724503577,137.12032023529892,,,,,87.0,,,,,,,2.0,https://chime-frb-open-data.github.io/,A second source of repeating fast radio bursts,https://ui.adsabs.harvard.edu/abs/2019Natur.566..235C/abstract,Ng et al. 2019 Nature 566 235,peer-reviewed publication,65.5,04:22:00,CHIME/FRB,,,,,0.32799999999999996,,,,,,,,,,,18.7,18.7,,,,,chime,,one-off,145,2018-10-28 10:12:31.477,42.0,,,42.0,,,0.21428571428571427,3.0,14.0
176,,400.0,,90.0,26.0,8.0,,600.0,0.0244140625,,,,,44,73.73333333333333,73:44:00,,103.5,0.30000000000000004,103.5,0.3,,,,,2.2,1.3,1.3,2.2,-1.3,1.3,,,,,,,FRB181030.J1054+73,,NE2001,40.71417615791355,134.77792268231858,,,,,40.0,,,,,,,2.0,,CHIME/FRB Detection of Eight New Repeating Fast Radio Burst Sources,https://ui.adsabs.harvard.edu/abs/2019arXiv190803507A/abstract,CHIME/FRB Collaboration et al. 2019 ApJ Letters submitted,Peer reviewed publication,163.5,10:54:00,,,,,,1.0,,,,,,,,,,,0.0,0.0,,,,,chime,,one-off,176,2018-10-30 04:16:21.654,1.43,0.08,0.08,1.43,-0.08,0.08,0.08695652173913043,2.0,23.0
154,,400.0,,90.0,11.0,7.0,,600.0,0.0244140625,,,,,46,65.73333333333333,65:44:00,,349.5,0.30000000000000004,349.5,0.3,,,,,2.5,1.2,1.2,2.5,-1.2,1.2,,,,,,,FRB180916.J0158+65,,NE2001,3.6143252738210734,130.20644732719438,,,,,200.0,,,,,,,2.0,,CHIME/FRB Detection of Eight New Repeating Fast Radio Burst Sources,https://ui.adsabs.harvard.edu/abs/2019arXiv190803507A/abstract,CHIME/FRB Collaboration et al. 2019 ApJ Letters submitted,Peer reviewed publication,29.5,01:58:00,,,,-114.6,0.6000000000000001,1.0,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,154,2018-11-04 06:57:18.585,1.37,0.07,0.07,1.37,-0.07,0.07,0.43478260869565216,10.0,23.0
155,,400.0,,90.0,11.0,7.0,,600.0,0.0244140625,,,,,46,65.73333333333333,65:44:00,,349.6,0.2,349.6,0.2,,,,,2.0,1.0,1.0,2.0,-1.0,1.0,,,,,,,FRB180916.J0158+65,,NE2001,3.6143252738210734,130.20644732719438,,,,,200.0,,,,,,,2.0,,CHIME/FRB Detection of Eight New Repeating Fast Radio Burst Sources,https://ui.adsabs.harvard.edu/abs/2019arXiv190803507A/abstract,CHIME/FRB Collaboration et al. 2019 ApJ Letters submitted,Peer reviewed publication,29.5,01:58:00,,,,-114.6,0.6000000000000001,1.0,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,155,2018-11-04 07:07:01.591,6.3,1.1,1.1,6.3,-1.1,1.1,0.43478260869565216,10.0,23.0
178,,400.0,,90.0,9.0,3.0,,600.0,0.0244140625,,,,,44,65.13333333333334,65:08:00,,364.2,1.0,364.2,1.0,,,,,1.8,0.8,0.8,1.8,-0.8,0.8,,,,,,,FRB181119.J12+65,,NE2001,51.925887860564934,126.39240972730633,,,,,34.0,,,,,,,2.0,,CHIME/FRB Detection of Eight New Repeating Fast Radio Burst Sources,https://ui.adsabs.harvard.edu/abs/2019arXiv190803507A/abstract,CHIME/FRB Collaboration et al. 2019 ApJ Letters submitted,Peer reviewed publication,190.5,12:42:00,,,,,,1.0,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,178,2018-11-19 16:49:03.191,6.3,0.6000000000000001,0.6000000000000001,6.3,-0.6,0.6,0.15789473684210525,3.0,19.0
182,,400.0,,90.0,12.0,11.0,,600.0,0.0244140625,,,,,44,63.38333333333333,63:23:00,,450.8,0.30000000000000004,450.8,0.3,,,,,2.5,1.2,1.2,2.5,-1.2,1.2,,,,,,,FRB181128.J0456+63,,NE2001,11.983792276632393,147.2729505856719,,,,,112.0,,,,,,,2.0,,CHIME/FRB Detection of Eight New Repeating Fast Radio Burst Sources,https://ui.adsabs.harvard.edu/abs/2019arXiv190803507A/abstract,CHIME/FRB Collaboration et al. 2019 ApJ Letters submitted,Peer reviewed publication,74.0,04:56:00,,,,,,1.0,,,,,,,,,,,0.0,0.0,,,,,chime,,one-off,182,2018-12-19 07:04:41.678,5.5,0.7000000000000001,0.7000000000000001,5.5,-0.7,0.7,0.125,2.0,16.0
157,,400.0,,90.0,11.0,7.0,,600.0,0.0244140625,,,,,46,65.73333333333333,65:44:00,,349.1,0.1,349.1,0.1,,,,,27.0,12.0,12.0,27.0,-12.0,12.0,,,,,,,FRB180916.J0158+65,,NE2001,3.6143252738210734,130.20644732719438,,,,,200.0,,,,,,,2.0,,CHIME/FRB Detection of Eight New Repeating Fast Radio Burst Sources,https://ui.adsabs.harvard.edu/abs/2019arXiv190803507A/abstract,CHIME/FRB Collaboration et al. 2019 ApJ Letters submitted,Peer reviewed publication,29.5,01:58:00,,,,-114.6,0.6000000000000001,1.0,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,157,2018-12-22 03:59:23.208,4.95,0.04,0.04,4.95,-0.04,0.04,0.43478260869565216,10.0,23.0
158,,400.0,,90.0,11.0,7.0,,600.0,0.0244140625,,,,,46,65.73333333333333,65:44:00,,349.7,0.7000000000000001,349.7,0.7,,,,,8.1,3.8,3.8,8.1,-3.8,3.8,,,,,,,FRB180916.J0158+65,,NE2001,3.6143252738210734,130.20644732719438,,,,,200.0,,,,,,,2.0,,CHIME/FRB Detection of Eight New Repeating Fast Radio Burst Sources,https://ui.adsabs.harvard.edu/abs/2019arXiv190803507A/abstract,CHIME/FRB Collaboration et al. 2019 ApJ Letters submitted,Peer reviewed publication,29.5,01:58:00,,,,-114.6,0.6000000000000001,1.0,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,158,2018-12-23 03:51:28.960,1.06,0.05,0.05,1.06,-0.05,0.05,0.43478260869565216,10.0,23.0
159,,400.0,,90.0,11.0,7.0,,600.0,0.0244140625,,,,,46,65.73333333333333,65:44:00,,348.9,0.7000000000000001,348.9,0.7,,,,,1.9,0.9,0.9,1.9,-0.9,0.9,,,,,,,FRB180916.J0158+65,,NE2001,3.6143252738210734,130.20644732719438,,,,,200.0,,,,,,,2.0,,CHIME/FRB Detection of Eight New Repeating Fast Radio Burst Sources,https://ui.adsabs.harvard.edu/abs/2019arXiv190803507A/abstract,CHIME/FRB Collaboration et al. 2019 ApJ Letters submitted,Peer reviewed publication,29.5,01:58:00,,,,-114.6,0.6000000000000001,1.0,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,159,2018-12-25 03:53:03.926,1.3,0.30000000000000004,0.30000000000000004,1.3,-0.3,0.3,0.43478260869565216,10.0,23.0
160,,400.0,,90.0,11.0,7.0,,600.0,0.0244140625,,,,,46,65.73333333333333,65:44:00,,348.8,0.2,348.8,0.2,,,,,3.8,1.8,1.8,3.8,-1.8,1.8,,,,,,,FRB180916.J0158+65,,NE2001,3.6143252738210734,130.20644732719438,,,,,200.0,,,,,,,2.0,,CHIME/FRB Detection of Eight New Repeating Fast Radio Burst Sources,https://ui.adsabs.harvard.edu/abs/2019arXiv190803507A/abstract,CHIME/FRB Collaboration et al. 2019 ApJ Letters submitted,Peer reviewed publication,29.5,01:58:00,,,,-114.6,0.6000000000000001,1.0,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,160,2018-12-26 03:43:30.107,0.87,0.03,0.03,0.87,-0.03,0.03,0.43478260869565216,10.0,23.0
