,dm_host,dm_igm_slope,freq_max,freq_min,in_par,lum_bol_max,lum_bol_min,lum_bol_slope,n_day,rep,si_mean,si_sigma,w_int_max,w_int_min
0,0,1200,10000000000.0,10000000.0,dm_host,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
1,50,1200,10000000000.0,10000000.0,dm_host,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
2,100,1200,10000000000.0,10000000.0,dm_host,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
3,100,1000,10000000000.0,10000000.0,dm_igm_slope,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
4,100,1100,10000000000.0,10000000.0,dm_igm_slope,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
5,100,1200,10000000000.0,10000000.0,dm_igm_slope,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
6,100,1300,10000000000.0,10000000.0,dm_igm_slope,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
7,100,1400,10000000000.0,10000000.0,dm_igm_slope,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
8,100,1200,10000000.0,10000000.0,freq_min,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
9,100,1200,100000000.0,10000000.0,freq_min,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
10,100,1200,1000000000.0,10000000.0,freq_min,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
11,100,1200,10000000000.0,10000000.0,freq_min,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
12,100,1200,100000000.0,100000000.0,freq_min,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
13,100,1200,1000000000.0,100000000.0,freq_min,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
14,100,1200,10000000000.0,100000000.0,freq_min,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
15,100,1200,1000000000.0,1000000000.0,freq_min,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
16,100,1200,10000000000.0,1000000000.0,freq_min,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
17,100,1200,10000000000.0,10000000000.0,freq_min,1e+50,1e+40,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
18,100,1200,10000000000.0,10000000.0,lum_bol_min,1e+30,1e+30,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
19,100,1200,10000000000.0,10000000.0,lum_bol_min,1e+40,1e+30,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
20,100,1200,10000000000.0,10000000.0,lum_bol_min,1e+50,1e+30,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
21,100,1200,10000000000.0,10000000.0,lum_bol_min,1e+60,1e+30,-1.5,5000,0.0,-1.5,0.0,5.0,1.0
